FLOPs,Patch size,Tokens,Encoder parameters,Global transformer parameters,Decoder parameters,Global transformer dimension,Encoder/Decoder dimension,Global transformer layers,Decoder layers
l,4,45774266220.20278,789760,226732032,3948800,1024,256,18,5
xl,4,91548532440.40556,789760,226732032,3948800,1024,256,18,5
s,4,6228663091.713028,789760,354193920,3948800,1280,256,18,5
m,4,12457326183.426056,789760,354193920,3948800,1280,256,18,5
l,4,31143315458.56514,789760,354193920,3948800,1280,256,18,5
xl,4,62286630917.13028,789760,354193920,3948800,1280,256,18,5
s,4,4494758895.37956,789760,509967360,3948800,1536,256,18,5
m,4,8989517790.75912,789760,509967360,3948800,1536,256,18,5
l,4,22473794476.8978,789760,509967360,3948800,1536,256,18,5
xl,4,44947588953.7956,789760,509967360,3948800,1536,256,18,5
m,4,6778938910.588724,789760,694052352,3948800,1792,256,18,5
l,4,16947347276.471811,789760,694052352,3948800,1792,256,18,5
xl,4,33894694552.943623,789760,694052352,3948800,1792,256,18,5
l,4,13220576412.054865,789760,906448896,3948800,2048,256,18,5
xl,4,26441152824.10973,789760,906448896,3948800,2048,256,18,5
s,4,8268947996.652201,1774464,226732032,8872320,1024,384,18,5
m,4,16537895993.304401,1774464,226732032,8872320,1024,384,18,5
l,4,41344739983.261,1774464,226732032,8872320,1024,384,18,5
xl,4,82689479966.522,1774464,226732032,8872320,1024,384,18,5
s,4,5805488815.656131,1774464,354193920,8872320,1280,384,18,5
m,4,11610977631.312262,1774464,354193920,8872320,1280,384,18,5
l,4,29027444078.280655,1774464,354193920,8872320,1280,384,18,5
xl,4,58054888156.56131,1774464,354193920,8872320,1280,384,18,5
s,4,4270145967.9368744,1774464,509967360,8872320,1536,384,18,5
m,4,8540291935.873749,1774464,509967360,8872320,1536,384,18,5
l,4,21350729839.684372,1774464,509967360,8872320,1536,384,18,5
xl,4,42701459679.368744,1774464,509967360,8872320,1536,384,18,5
l,4,16300762792.238771,1774464,694052352,8872320,1792,384,18,5
xl,4,32601525584.477543,1774464,694052352,8872320,1792,384,18,5
xl,4,25647534590.727314,1774464,906448896,8872320,2048,384,18,5
s,4,5308499408.675633,3152384,354193920,15761920,1280,512,18,5
m,4,10616998817.351267,3152384,354193920,15761920,1280,512,18,5
l,4,26542497043.37817,3152384,354193920,15761920,1280,512,18,5
xl,4,53084994086.75634,3152384,354193920,15761920,1280,512,18,5
m,4,7990079517.271356,3152384,509967360,15761920,1536,512,18,5
l,4,19975198793.17839,3152384,509967360,15761920,1536,512,18,5
xl,4,39950397586.35678,3152384,509967360,15761920,1536,512,18,5
l,4,15486565590.189299,3152384,694052352,15761920,1792,512,18,5
xl,4,30973131180.378597,3152384,694052352,15761920,1792,512,18,5
xl,4,24628880211.116398,3152384,906448896,15761920,2048,512,18,5
m,4,7383876142.74344,4923520,509967360,24617600,1536,640,18,5
l,4,18459690356.8586,4923520,509967360,24617600,1536,640,18,5
xl,4,36919380713.7172,4923520,509967360,24617600,1536,640,18,5
l,4,14559833180.187183,4923520,694052352,24617600,1792,640,18,5
xl,4,29119666360.374367,4923520,694052352,24617600,1792,640,18,5
xl,4,23442402392.40031,4923520,906448896,24617600,2048,640,18,5
xl,4,22145884472.609756,7087872,906448896,35439360,2048,768,18,5
s,4,29140545082.05511,198272,63047680,991360,512,128,20,5
m,4,58281090164.11022,198272,63047680,991360,512,128,20,5
l,4,145702725410.27557,198272,63047680,991360,512,128,20,5
xl,4,291405450820.55115,198272,63047680,991360,512,128,20,5
s,4,14761949975.648687,198272,141757440,991360,768,128,20,5
m,4,29523899951.297375,198272,141757440,991360,768,128,20,5
l,4,73809749878.24344,198272,141757440,991360,768,128,20,5
xl,4,147619499756.48688,198272,141757440,991360,768,128,20,5
s,4,8852417871.51615,198272,251924480,991360,1024,128,20,5
m,4,17704835743.0323,198272,251924480,991360,1024,128,20,5
l,4,44262089357.58074,198272,251924480,991360,1024,128,20,5
xl,4,88524178715.16148,198272,251924480,991360,1024,128,20,5
s,4,5882985258.274348,198272,393548800,991360,1280,128,20,5
m,4,11765970516.548697,198272,393548800,991360,1280,128,20,5
l,4,29414926291.371742,198272,393548800,991360,1280,128,20,5
xl,4,58829852582.743484,198272,393548800,991360,1280,128,20,5
s,4,4187666979.033122,198272,566630400,991360,1536,128,20,5
m,4,8375333958.066244,198272,566630400,991360,1536,128,20,5
l,4,20938334895.16561,198272,566630400,991360,1536,128,20,5
xl,4,41876669790.33122,198272,566630400,991360,1536,128,20,5
l,4,15653977076.967175,198272,771169280,991360,1792,128,20,5
xl,4,31307954153.93435,198272,771169280,991360,1792,128,20,5
xl,4,24282728980.88922,198272,1007165440,991360,2048,128,20,5
s,4,13329647952.26749,789760,141757440,3948800,768,256,20,5
m,4,26659295904.53498,789760,141757440,3948800,768,256,20,5
l,4,66648239761.337456,789760,141757440,3948800,768,256,20,5
xl,4,133296479522.67491,789760,141757440,3948800,768,256,20,5
s,4,8316527294.975647,789760,251924480,3948800,1024,256,20,5
m,4,16633054589.951294,789760,251924480,3948800,1024,256,20,5
l,4,41582636474.878235,789760,251924480,3948800,1024,256,20,5
xl,4,83165272949.75647,789760,251924480,3948800,1024,256,20,5
s,4,5641407243.169745,789760,393548800,3948800,1280,256,20,5
m,4,11282814486.33949,789760,393548800,3948800,1280,256,20,5
l,4,28207036215.848724,789760,393548800,3948800,1280,256,20,5
xl,4,56414072431.69745,789760,393548800,3948800,1280,256,20,5
s,4,4063794155.8868837,789760,566630400,3948800,1536,256,20,5
m,4,8127588311.773767,789760,566630400,3948800,1536,256,20,5
l,4,20318970779.434418,789760,566630400,3948800,1536,256,20,5
xl,4,40637941558.868835,789760,566630400,3948800,1536,256,20,5
l,4,15305185896.543016,789760,771169280,3948800,1792,256,20,5
xl,4,30610371793.086033,789760,771169280,3948800,1792,256,20,5
xl,4,23860976255.236244,789760,1007165440,3948800,2048,256,20,5
s,4,7578904888.260264,1774464,251924480,8872320,1024,384,20,5
m,4,15157809776.520529,1774464,251924480,8872320,1024,384,20,5
l,4,37894524441.30132,1774464,251924480,8872320,1024,384,20,5
xl,4,75789048882.60265,1774464,251924480,8872320,1024,384,20,5
s,4,5292029424.699671,1774464,393548800,8872320,1280,384,20,5
m,4,10584058849.399342,1774464,393548800,8872320,1280,384,20,5
l,4,26460147123.498356,1774464,393548800,8872320,1280,384,20,5
xl,4,52920294246.99671,1774464,393548800,8872320,1280,384,20,5
m,4,7758609667.07868,1774464,566630400,8872320,1536,384,20,5
l,4,19396524167.6967,1774464,566630400,8872320,1536,384,20,5
xl,4,38793048335.3934,1774464,566630400,8872320,1536,384,20,5
l,4,14775878994.582052,1774464,771169280,8872320,1792,384,20,5
xl,4,29551757989.164104,1774464,771169280,8872320,1792,384,20,5
xl,4,23212788025.202328,1774464,1007165440,8872320,2048,384,20,5
s,4,4875913082.987573,3152384,393548800,15761920,1280,512,20,5
m,4,9751826165.975145,3152384,393548800,15761920,1280,512,20,5
l,4,24379565414.937862,3152384,393548800,15761920,1280,512,20,5
xl,4,48759130829.875725,3152384,393548800,15761920,1280,512,20,5
m,4,7301814728.776721,3152384,566630400,15761920,1536,512,20,5
l,4,18254536821.941803,3152384,566630400,15761920,1536,512,20,5
xl,4,36509073643.883606,3152384,566630400,15761920,1536,512,20,5
l,4,14103747255.072294,3152384,771169280,15761920,1792,512,20,5
xl,4,28207494510.14459,3152384,771169280,15761920,1792,512,20,5
xl,4,22375199371.976482,3152384,1007165440,15761920,2048,512,20,5
m,4,6792219485.410584,4923520,566630400,24617600,1536,640,20,5
l,4,16980548713.52646,4923520,566630400,24617600,1536,640,20,5
xl,4,33961097427.05292,4923520,566630400,24617600,1536,640,20,5
l,4,13330995609.943174,4923520,771169280,24617600,1792,640,20,5
xl,4,26661991219.88635,4923520,771169280,24617600,1792,640,20,5
xl,4,21391589648.387295,4923520,1007165440,24617600,2048,640,20,5
xl,4,24997532243.61691,7087872,771169280,35439360,1792,768,20,5
xl,4,20306746895.537025,7087872,1007165440,35439360,2048,768,20,5
xl,4,19162793789.390656,9645440,1007165440,48227200,2048,896,20,5
s,4,26693317274.63366,198272,69352448,991360,512,128,22,5
m,4,53386634549.26732,198272,69352448,991360,512,128,22,5
l,4,133466586373.1683,198272,69352448,991360,512,128,22,5
xl,4,266933172746.3366,198272,69352448,991360,512,128,22,5
s,4,13471575406.981682,198272,155933184,991360,768,128,22,5
m,4,26943150813.963364,198272,155933184,991360,768,128,22,5
l,4,67357877034.90841,198272,155933184,991360,768,128,22,5
xl,4,134715754069.81682,198272,155933184,991360,768,128,22,5
s,4,8066187651.273283,198272,277116928,991360,1024,128,22,5
m,4,16132375302.546566,198272,277116928,991360,1024,128,22,5
l,4,40330938256.36642,198272,277116928,991360,1024,128,22,5
xl,4,80661876512.73283,198272,277116928,991360,1024,128,22,5
s,4,5356347975.103352,198272,432903680,991360,1280,128,22,5
m,4,10712695950.206703,198272,432903680,991360,1280,128,22,5
l,4,26781739875.516758,198272,432903680,991360,1280,128,22,5
xl,4,53563479751.033516,198272,432903680,991360,1280,128,22,5
m,4,7622225433.7198715,198272,623293440,991360,1536,128,22,5
l,4,19055563584.29968,198272,623293440,991360,1536,128,22,5
xl,4,38111127168.59936,198272,623293440,991360,1536,128,22,5
l,4,14242462774.759895,198272,848286208,991360,1792,128,22,5
xl,4,28484925549.51979,198272,848286208,991360,1792,128,22,5
xl,4,22089131376.893665,198272,1107881984,991360,2048,128,22,5
s,4,12268527242.804558,789760,155933184,3948800,768,256,22,5
m,4,24537054485.609116,789760,155933184,3948800,768,256,22,5
l,4,61342636214.02279,789760,155933184,3948800,768,256,22,5
xl,4,122685272428.04558,789760,155933184,3948800,768,256,22,5
s,4,7618855362.674582,789760,277116928,3948800,1024,256,22,5
m,4,15237710725.349163,789760,277116928,3948800,1024,256,22,5
l,4,38094276813.37291,789760,277116928,3948800,1024,256,22,5
xl,4,76188553626.74582,789760,277116928,3948800,1024,256,22,5
s,4,5155346680.154703,789760,432903680,3948800,1280,256,22,5
m,4,10310693360.309406,789760,432903680,3948800,1280,256,22,5
l,4,25776733400.773518,789760,432903680,3948800,1280,256,22,5
xl,4,51553466801.547035,789760,432903680,3948800,1280,256,22,5
m,4,7416483865.172358,789760,623293440,3948800,1536,256,22,5
l,4,18541209662.930893,789760,623293440,3948800,1536,256,22,5
xl,4,37082419325.861786,789760,623293440,3948800,1536,256,22,5
l,4,13953155261.603132,789760,848286208,3948800,1792,256,22,5
xl,4,27906310523.206264,789760,848286208,3948800,1792,256,22,5
xl,4,21739587155.152756,789760,1107881984,3948800,2048,256,22,5
s,4,6995159349.729987,1774464,277116928,8872320,1024,384,22,5
m,4,13990318699.459974,1774464,277116928,8872320,1024,384,22,5
l,4,34975796748.64993,1774464,277116928,8872320,1024,384,22,5
xl,4,69951593497.29987,1774464,277116928,8872320,1024,384,22,5
s,4,4862014473.400269,1774464,432903680,8872320,1280,384,22,5
m,4,9724028946.800537,1774464,432903680,8872320,1280,384,22,5
l,4,24310072367.001343,1774464,432903680,8872320,1280,384,22,5
xl,4,48620144734.002686,1774464,432903680,8872320,1280,384,22,5
m,4,7108021339.531073,1774464,623293440,8872320,1536,384,22,5
l,4,17770053348.827682,1774464,623293440,8872320,1536,384,22,5
xl,4,35540106697.655365,1774464,623293440,8872320,1536,384,22,5
l,4,13511885659.958977,1774464,848286208,8872320,1792,384,22,5
xl,4,27023771319.917953,1774464,848286208,8872320,1792,384,22,5
xl,4,21200228731.811813,1774464,1107881984,8872320,2048,384,22,5
s,4,4508516840.789194,3152384,432903680,15761920,1280,512,22,5
m,4,9017033681.578388,3152384,432903680,15761920,1280,512,22,5
l,4,22542584203.94597,3152384,432903680,15761920,1280,512,22,5
xl,4,45085168407.89194,3152384,432903680,15761920,1280,512,22,5
m,4,6722720169.623373,3152384,623293440,15761920,1536,512,22,5
l,4,16806800424.058432,3152384,623293440,15761920,1536,512,22,5
xl,4,33613600848.116863,3152384,623293440,15761920,1536,512,22,5
xl,4,25895267770.32712,3152384,848286208,15761920,1792,512,22,5
xl,4,20499390069.347633,3152384,1107881984,15761920,2048,512,22,5
l,4,15720864258.159832,4923520,623293440,24617600,1536,640,22,5
xl,4,31441728516.319664,4923520,623293440,24617600,1536,640,22,5
xl,4,24586879449.782616,4923520,848286208,24617600,1792,640,22,5
xl,4,19670733944.983,4923520,1107881984,24617600,2048,640,22,5
xl,4,23164517740.6849,7087872,848286208,35439360,1792,768,22,5
xl,4,18749654256.37551,7087872,1107881984,35439360,2048,768,22,5
xl,4,17770177638.656715,9645440,1107881984,48227200,2048,896,22,5
s,4,24625282008.729565,198272,75657216,991360,512,128,24,5
m,4,49250564017.45913,198272,75657216,991360,512,128,24,5
l,4,123126410043.64783,198272,75657216,991360,512,128,24,5
xl,4,246252820087.29565,198272,75657216,991360,512,128,24,5
s,4,12388655717.870071,198272,170108928,991360,768,128,24,5
m,4,24777311435.740143,198272,170108928,991360,768,128,24,5
l,4,61943278589.35036,198272,170108928,991360,768,128,24,5
xl,4,123886557178.70071,198272,170108928,991360,768,128,24,5
s,4,7408223958.314813,198272,302309376,991360,1024,128,24,5
m,4,14816447916.629625,198272,302309376,991360,1024,128,24,5
l,4,37041119791.574066,198272,302309376,991360,1024,128,24,5
xl,4,74082239583.14813,198272,302309376,991360,1024,128,24,5
s,4,4916251459.733383,198272,472258560,991360,1280,128,24,5
m,4,9832502919.466766,198272,472258560,991360,1280,128,24,5
l,4,24581257298.666916,198272,472258560,991360,1280,128,24,5
xl,4,49162514597.33383,198272,472258560,991360,1280,128,24,5
m,4,6993381799.147614,198272,679956480,991360,1536,128,24,5
l,4,17483454497.869034,198272,679956480,991360,1536,128,24,5
xl,4,34966908995.73807,198272,679956480,991360,1536,128,24,5
l,4,13064445719.255638,198272,925403136,991360,1792,128,24,5
xl,4,26128891438.511276,198272,925403136,991360,1792,128,24,5
xl,4,20259018520.891975,198272,1208598528,991360,2048,128,24,5
s,4,11363892567.75971,789760,170108928,3948800,768,256,24,5
m,4,22727785135.51942,789760,170108928,3948800,768,256,24,5
l,4,56819462838.798546,789760,170108928,3948800,768,256,24,5
xl,4,113638925677.59709,789760,170108928,3948800,768,256,24,5
s,4,7029178852.451125,789760,302309376,3948800,1024,256,24,5
m,4,14058357704.90225,789760,302309376,3948800,1024,256,24,5
l,4,35145894262.25562,789760,302309376,3948800,1024,256,24,5
xl,4,70291788524.51125,789760,302309376,3948800,1024,256,24,5
s,4,4746399495.256486,789760,472258560,3948800,1280,256,24,5
m,4,9492798990.512972,789760,472258560,3948800,1280,256,24,5
l,4,23731997476.282433,789760,472258560,3948800,1280,256,24,5
xl,4,47463994952.564865,789760,472258560,3948800,1280,256,24,5
m,4,6819801210.978461,789760,679956480,3948800,1536,256,24,5
l,4,17049503027.446154,789760,679956480,3948800,1536,256,24,5
xl,4,34099006054.892307,789760,679956480,3948800,1536,256,24,5
xl,4,25641214991.536346,789760,925403136,3948800,1792,256,24,5
xl,4,19964609296.109848,789760,1208598528,3948800,2048,256,24,5
s,4,6494906019.229494,1774464,302309376,8872320,1024,384,24,5
m,4,12989812038.458988,1774464,302309376,8872320,1024,384,24,5
l,4,32474530096.147472,1774464,302309376,8872320,1024,384,24,5
xl,4,64949060192.294945,1774464,302309376,8872320,1024,384,24,5
s,4,4496631267.746405,1774464,472258560,8872320,1280,384,24,5
m,4,8993262535.49281,1774464,472258560,8872320,1280,384,24,5
l,4,22483156338.732025,1774464,472258560,8872320,1280,384,24,5
xl,4,44966312677.46405,1774464,472258560,8872320,1280,384,24,5
l,4,16395250508.41016,1774464,679956480,8872320,1536,384,24,5
xl,4,32790501016.82032,1774464,679956480,8872320,1536,384,24,5
xl,4,24894211550.133476,1774464,925403136,8872320,1792,384,24,5
xl,4,19508806337.60898,1774464,1208598528,8872320,2048,384,24,5
s,4,4192607165.7224245,3152384,472258560,15761920,1280,512,24,5
m,4,8385214331.444849,3152384,472258560,15761920,1280,512,24,5
l,4,20963035828.61212,3152384,472258560,15761920,1280,512,24,5
xl,4,41926071657.22424,3152384,472258560,15761920,1280,512,24,5
l,4,15571825330.860178,3152384,679956480,15761920,1536,512,24,5
xl,4,31143650661.720356,3152384,679956480,15761920,1536,512,24,5
xl,4,23933397605.0366,3152384,925403136,15761920,1792,512,24,5
xl,4,18913767503.85962,3152384,1208598528,15761920,2048,512,24,5
l,4,14635169346.939873,4923520,679956480,24617600,1536,640,24,5
xl,4,29270338693.879745,4923520,679956480,24617600,1536,640,24,5
xl,4,22811456124.956264,4923520,925403136,24617600,1792,640,24,5
xl,4,18206133631.855667,4923520,1208598528,24617600,2048,640,24,5
xl,4,21581959719.292255,7087872,925403136,35439360,1792,768,24,5
xl,4,17414346769.18451,7087872,1208598528,35439360,2048,768,24,5
xl,4,16566259232.11121,9645440,1208598528,48227200,2048,896,24,5
s,4,69764897875.3519,198272,25192448,1189632,1024,128,2,6
l,4,348824489376.75946,198272,25192448,1189632,1024,128,2,6
s,4,49910958849.41265,198272,39354880,1189632,1280,128,2,6
m,4,99821917698.8253,198272,39354880,1189632,1280,128,2,6
l,4,249554794247.06323,198272,39354880,1189632,1280,128,2,6
xl,4,499109588494.12646,198272,39354880,1189632,1280,128,2,6
s,4,37151032917.59841,198272,56663040,1189632,1536,128,2,6
m,4,74302065835.19682,198272,56663040,1189632,1536,128,2,6
l,4,185755164587.99207,198272,56663040,1189632,1536,128,2,6
xl,4,371510329175.98413,198272,56663040,1189632,1536,128,2,6
s,4,28589176732.34401,198272,77116928,1189632,1792,128,2,6
m,4,57178353464.68802,198272,77116928,1189632,1792,128,2,6
l,4,142945883661.72006,198272,77116928,1189632,1792,128,2,6
xl,4,285891767323.4401,198272,77116928,1189632,1792,128,2,6
s,4,22614692675.372417,198272,100716544,1189632,2048,128,2,6
m,4,45229385350.744835,198272,100716544,1189632,2048,128,2,6
l,4,113073463376.86209,198272,100716544,1189632,2048,128,2,6
xl,4,226146926753.72418,198272,100716544,1189632,2048,128,2,6
s,4,18974237539.238724,789760,100716544,4738560,2048,256,2,6
m,4,37948475078.47745,789760,100716544,4738560,2048,256,2,6
l,4,94871187696.19362,789760,100716544,4738560,2048,256,2,6
xl,4,189742375392.38724,789760,100716544,4738560,2048,256,2,6
s,4,61348488864.0223,198272,28351488,1189632,768,128,4,6
m,4,122696977728.0446,198272,28351488,1189632,768,128,4,6
l,4,306742444320.1115,198272,28351488,1189632,768,128,4,6
xl,4,613484888640.223,198272,28351488,1189632,768,128,4,6
s,4,39456024524.60225,198272,50384896,1189632,1024,128,4,6
m,4,78912049049.2045,198272,50384896,1189632,1024,128,4,6
l,4,197280122623.01126,198272,50384896,1189632,1024,128,4,6
xl,4,394560245246.0225,198272,50384896,1189632,1024,128,4,6
s,4,27212128336.751175,198272,78709760,1189632,1280,128,4,6
m,4,54424256673.50235,198272,78709760,1189632,1280,128,4,6
l,4,136060641683.75589,198272,78709760,1189632,1280,128,4,6
xl,4,272121283367.51178,198272,78709760,1189632,1280,128,4,6
s,4,19797564361.089836,198272,113326080,1189632,1536,128,4,6
m,4,39595128722.17967,198272,113326080,1189632,1536,128,4,6
l,4,98987821805.44917,198272,113326080,1189632,1536,128,4,6
xl,4,197975643610.89835,198272,113326080,1189632,1536,128,4,6
s,4,15007465313.54557,198272,154233856,1189632,1792,128,4,6
m,4,30014930627.09114,198272,154233856,1189632,1792,128,4,6
l,4,75037326567.72784,198272,154233856,1189632,1792,128,4,6
xl,4,150074653135.4557,198272,154233856,1189632,1792,128,4,6
s,4,11748804911.564396,198272,201433088,1189632,2048,128,4,6
m,4,23497609823.12879,198272,201433088,1189632,2048,128,4,6
l,4,58744024557.821976,198272,201433088,1189632,2048,128,4,6
xl,4,117488049115.64395,198272,201433088,1189632,2048,128,4,6
s,4,16950513180.176632,789760,113326080,4738560,1536,256,4,6
m,4,33901026360.353264,789760,113326080,4738560,1536,256,4,6
l,4,84752565900.88316,789760,113326080,4738560,1536,256,4,6
xl,4,169505131801.76633,789760,113326080,4738560,1536,256,4,6
s,4,13312476410.291801,789760,154233856,4738560,1792,256,4,6
m,4,26624952820.583603,789760,154233856,4738560,1792,256,4,6
l,4,66562382051.45901,789760,154233856,4738560,1792,256,4,6
xl,4,133124764102.91801,789760,154233856,4738560,1792,256,4,6
s,4,10683870261.917215,789760,201433088,4738560,2048,256,4,6
m,4,21367740523.83443,789760,201433088,4738560,2048,256,4,6
l,4,53419351309.58608,789760,201433088,4738560,2048,256,4,6
xl,4,106838702619.17216,789760,201433088,4738560,2048,256,4,6
s,4,9324530976.091902,1774464,201433088,10646784,2048,384,4,6
m,4,18649061952.183804,1774464,201433088,10646784,2048,384,4,6
l,4,46622654880.45951,1774464,201433088,10646784,2048,384,4,6
xl,4,93245309760.91902,1774464,201433088,10646784,2048,384,4,6
s,4,43880896714.90055,198272,42527232,1189632,768,128,6,6
m,4,87761793429.8011,198272,42527232,1189632,768,128,6,6
l,4,219404483574.50275,198272,42527232,1189632,768,128,6,6
xl,4,438808967149.0055,198272,42527232,1189632,768,128,6,6
s,4,27506163581.13526,198272,75577344,1189632,1024,128,6,6
m,4,55012327162.27052,198272,75577344,1189632,1024,128,6,6
l,4,137530817905.6763,198272,75577344,1189632,1024,128,6,6
xl,4,275061635811.3526,198272,75577344,1189632,1024,128,6,6
s,4,18705238364.59353,198272,118064640,1189632,1280,128,6,6
m,4,37410476729.18706,198272,118064640,1189632,1280,128,6,6
l,4,93526191822.96764,198272,118064640,1189632,1280,128,6,6
xl,4,187052383645.93527,198272,118064640,1189632,1280,128,6,6
s,4,13494297633.68315,198272,169989120,1189632,1536,128,6,6
m,4,26988595267.3663,198272,169989120,1189632,1536,128,6,6
l,4,67471488168.41574,198272,169989120,1189632,1536,128,6,6
xl,4,134942976336.83148,198272,169989120,1189632,1536,128,6,6
s,4,10174105810.049282,198272,231350784,1189632,1792,128,6,6
m,4,20348211620.098564,198272,231350784,1189632,1792,128,6,6
l,4,50870529050.24641,198272,231350784,1189632,1792,128,6,6
xl,4,101741058100.49281,198272,231350784,1189632,1792,128,6,6
s,4,7935812608.165126,198272,302149632,1189632,2048,128,6,6
m,4,15871625216.330252,198272,302149632,1189632,2048,128,6,6
l,4,39679063040.82563,198272,302149632,1189632,2048,128,6,6
xl,4,79358126081.65126,198272,302149632,1189632,2048,128,6,6
s,4,16143363398.733328,789760,118064640,4738560,1280,256,6,6
m,4,32286726797.466656,789760,118064640,4738560,1280,256,6,6
l,4,80716816993.66664,789760,118064640,4738560,1280,256,6,6
xl,4,161433633987.33328,789760,118064640,4738560,1280,256,6,6
s,4,12108094871.669693,789760,169989120,4738560,1536,256,6,6
m,4,24216189743.339386,789760,169989120,4738560,1536,256,6,6
l,4,60540474358.348465,789760,169989120,4738560,1536,256,6,6
xl,4,121080948716.69693,789760,169989120,4738560,1536,256,6,6
s,4,9365686761.084778,789760,231350784,4738560,1792,256,6,6
m,4,18731373522.169556,789760,231350784,4738560,1792,256,6,6
l,4,46828433805.42389,789760,231350784,4738560,1792,256,6,6
xl,4,93656867610.84778,789760,231350784,4738560,1792,256,6,6
s,4,7435218428.872916,789760,302149632,4738560,2048,256,6,6
m,4,14870436857.745832,789760,302149632,4738560,2048,256,6,6
l,4,37176092144.36458,789760,302149632,4738560,2048,256,6,6
xl,4,74352184288.72916,789760,302149632,4738560,2048,256,6,6
s,4,8304427282.8471985,1774464,231350784,10646784,1792,384,6,6
m,4,16608854565.694397,1774464,231350784,10646784,1792,384,6,6
l,4,41522136414.23599,1774464,231350784,10646784,1792,384,6,6
xl,4,83044272828.47198,1774464,231350784,10646784,1792,384,6,6
s,4,6750371270.419873,1774464,302149632,10646784,2048,384,6,6
m,4,13500742540.839746,1774464,302149632,10646784,2048,384,6,6
l,4,33751856352.099365,1774464,302149632,10646784,2048,384,6,6
xl,4,67503712704.19873,1774464,302149632,10646784,2048,384,6,6
s,4,62863476621.82741,198272,25219072,1189632,512,128,8,6
m,4,125726953243.65482,198272,25219072,1189632,512,128,8,6
l,4,314317383109.137,198272,25219072,1189632,512,128,8,6
xl,4,628634766218.274,198272,25219072,1189632,512,128,8,6
s,4,34155805120.6383,198272,56702976,1189632,768,128,8,6
m,4,68311610241.2766,198272,56702976,1189632,768,128,8,6
l,4,170779025603.19153,198272,56702976,1189632,768,128,8,6
xl,4,341558051206.38306,198272,56702976,1189632,768,128,8,6
s,4,21112054679.20824,198272,100769792,1189632,1024,128,8,6
m,4,42224109358.41648,198272,100769792,1189632,1024,128,8,6
l,4,105560273396.0412,198272,100769792,1189632,1024,128,8,6
xl,4,211120546792.0824,198272,100769792,1189632,1024,128,8,6
s,4,14250373359.782026,198272,157419520,1189632,1280,128,8,6
m,4,28500746719.564053,198272,157419520,1189632,1280,128,8,6
l,4,71251866798.91013,198272,157419520,1189632,1280,128,8,6
xl,4,142503733597.82025,198272,157419520,1189632,1280,128,8,6
s,4,10235468173.58961,198272,226652160,1189632,1536,128,8,6
m,4,20470936347.17922,198272,226652160,1189632,1536,128,8,6
l,4,51177340867.94805,198272,226652160,1189632,1536,128,8,6
xl,4,102354681735.8961,198272,226652160,1189632,1536,128,8,6
s,4,7695624624.915256,198272,308467712,1189632,1792,128,8,6
m,4,15391249249.830511,198272,308467712,1189632,1792,128,8,6
l,4,38478123124.57628,198272,308467712,1189632,1792,128,8,6
xl,4,76956246249.15256,198272,308467712,1189632,1792,128,8,6
s,4,5991359022.363586,198272,402866176,1189632,2048,128,8,6
m,4,11982718044.727173,198272,402866176,1189632,2048,128,8,6
l,4,29956795111.817932,198272,402866176,1189632,2048,128,8,6
xl,4,59913590223.635864,198272,402866176,1189632,2048,128,8,6
s,4,17905005494.688087,789760,100769792,4738560,1024,256,8,6
m,4,35810010989.376175,789760,100769792,4738560,1024,256,8,6
l,4,89525027473.44043,789760,100769792,4738560,1024,256,8,6
xl,4,179050054946.88086,789760,100769792,4738560,1024,256,8,6
s,4,12713329671.894388,789760,157419520,4738560,1280,256,8,6
m,4,25426659343.788776,789760,157419520,4738560,1280,256,8,6
l,4,63566648359.47194,789760,157419520,4738560,1280,256,8,6
xl,4,127133296718.94388,789760,157419520,4738560,1280,256,8,6
s,4,9417660116.797068,789760,226652160,4738560,1536,256,8,6
m,4,18835320233.594135,789760,226652160,4738560,1536,256,8,6
l,4,47088300583.98534,789760,226652160,4738560,1536,256,8,6
xl,4,94176601167.97067,789760,226652160,4738560,1536,256,8,6
s,4,7223973698.72539,789760,308467712,4738560,1792,256,8,6
m,4,14447947397.45078,789760,308467712,4738560,1792,256,8,6
l,4,36119868493.62695,789760,308467712,4738560,1792,256,8,6
xl,4,72239736987.2539,789760,308467712,4738560,1792,256,8,6
s,4,5701545529.349731,789760,402866176,4738560,2048,256,8,6
m,4,11403091058.699463,789760,402866176,4738560,2048,256,8,6
l,4,28507727646.74866,789760,402866176,4738560,2048,256,8,6
xl,4,57015455293.49732,789760,402866176,4738560,2048,256,8,6
s,4,8345263722.350806,1774464,226652160,10646784,1536,384,8,6
m,4,16690527444.701612,1774464,226652160,10646784,1536,384,8,6
l,4,41726318611.75403,1774464,226652160,10646784,1536,384,8,6
xl,4,83452637223.50806,1774464,226652160,10646784,1536,384,8,6
s,4,6575792372.459614,1774464,308467712,10646784,1792,384,8,6
m,4,13151584744.919228,1774464,308467712,10646784,1792,384,8,6
l,4,32878961862.29807,1774464,308467712,10646784,1792,384,8,6
xl,4,65757923724.59614,1774464,308467712,10646784,1792,384,8,6
s,4,5289997672.401024,1774464,402866176,10646784,2048,384,8,6
m,4,10579995344.802048,1774464,402866176,10646784,2048,384,8,6
l,4,26449988362.00512,1774464,402866176,10646784,2048,384,8,6
xl,4,52899976724.01024,1774464,402866176,10646784,2048,384,8,6
s,4,4811348932.881297,3152384,402866176,18914304,2048,512,8,6
