"trainer/global_step","restful-jazz-47 - _step","restful-jazz-47 - _step__MIN","restful-jazz-47 - _step__MAX","restful-jazz-47 - val_entropy_loss","restful-jazz-47 - val_entropy_loss__MIN","restful-jazz-47 - val_entropy_loss__MAX"
"8999","1259","1259","1259","1.2657058238983154","1.2657058238983154","1.2657058238983154"
"9024","1262","1262","1262","1.2654560804367065","1.2654560804367065","1.2654560804367065"
"9049","1266","1266","1266","1.2654229402542114","1.2654229402542114","1.2654229402542114"
"9074","1269","1269","1269","1.2653614282608032","1.2653614282608032","1.2653614282608032"
"9099","1273","1273","1273","1.2651954889297485","1.2651954889297485","1.2651954889297485"
"9124","1276","1276","1276","1.2651407718658447","1.2651407718658447","1.2651407718658447"
"9149","1280","1280","1280","1.2653499841690063","1.2653499841690063","1.2653499841690063"
"9174","1283","1283","1283","1.2650259733200073","1.2650259733200073","1.2650259733200073"
"9199","1287","1287","1287","1.2651714086532593","1.2651714086532593","1.2651714086532593"
"9224","1290","1290","1290","1.2648552656173706","1.2648552656173706","1.2648552656173706"
"9249","1294","1294","1294","1.2648307085037231","1.2648307085037231","1.2648307085037231"
"9274","1297","1297","1297","1.265063762664795","1.265063762664795","1.265063762664795"
"9299","1301","1301","1301","1.265052318572998","1.265052318572998","1.265052318572998"
"9324","1304","1304","1304","1.2650314569473267","1.2650314569473267","1.2650314569473267"
"9349","1308","1308","1308","1.2653876543045044","1.2653876543045044","1.2653876543045044"
"9374","1311","1311","1311","1.2649251222610474","1.2649251222610474","1.2649251222610474"
"9399","1315","1315","1315","1.2654155492782593","1.2654155492782593","1.2654155492782593"
"9424","1318","1318","1318","1.2650327682495117","1.2650327682495117","1.2650327682495117"
"9449","1322","1322","1322","1.2654075622558594","1.2654075622558594","1.2654075622558594"
"9474","1325","1325","1325","1.2654057741165161","1.2654057741165161","1.2654057741165161"
