"trainer/global_step","restful-jazz-47 - _step","restful-jazz-47 - _step__MIN","restful-jazz-47 - _step__MAX","restful-jazz-47 - val_entropy_loss","restful-jazz-47 - val_entropy_loss__MIN","restful-jazz-47 - val_entropy_loss__MAX"
"1599","223","223","223","1.2861686944961548","1.2861686944961548","1.2861686944961548"
"1624","226","226","226","1.285951018333435","1.285951018333435","1.285951018333435"
"1649","230","230","230","1.2852956056594849","1.2852956056594849","1.2852956056594849"
"1674","233","233","233","1.2854747772216797","1.2854747772216797","1.2854747772216797"
"1699","237","237","237","1.2857904434204102","1.2857904434204102","1.2857904434204102"
"1724","240","240","240","1.2844843864440918","1.2844843864440918","1.2844843864440918"
"1749","244","244","244","1.2848609685897827","1.2848609685897827","1.2848609685897827"
"1774","247","247","247","1.2838208675384521","1.2838208675384521","1.2838208675384521"
"1799","251","251","251","1.2841346263885498","1.2841346263885498","1.2841346263885498"
"1824","254","254","254","1.2836368083953857","1.2836368083953857","1.2836368083953857"
"1849","258","258","258","1.2841274738311768","1.2841274738311768","1.2841274738311768"
"1874","261","261","261","1.28365957736969","1.28365957736969","1.28365957736969"
"1899","265","265","265","1.2829794883728027","1.2829794883728027","1.2829794883728027"
"1924","268","268","268","1.2822591066360474","1.2822591066360474","1.2822591066360474"
"1949","272","272","272","1.2832653522491455","1.2832653522491455","1.2832653522491455"
"1974","275","275","275","1.282884120941162","1.282884120941162","1.282884120941162"
"1999","279","279","279","1.2832905054092407","1.2832905054092407","1.2832905054092407"
"2024","282","282","282","1.2820665836334229","1.2820665836334229","1.2820665836334229"
"2049","286","286","286","1.2828264236450195","1.2828264236450195","1.2828264236450195"
"2074","289","289","289","1.2828948497772217","1.2828948497772217","1.2828948497772217"
